ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,dataLOSSfrac,OBSperiod,WINDOWwidth
1113.0,34300.0,10791.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,70
1114.0,1373.0,74339.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,77
1115.0,92354.0,60019.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,84
1116.0,30517.0,598.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,91
1117.0,31112.0,24096.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,98
1118.0,99035.0,9749.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.0,105
1119.0,33265.0,24436.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,7
1120.0,61635.0,66257.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,14
1121.0,29208.0,4603.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,21
1122.0,74692.0,33669.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,28
1123.0,25394.0,46977.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,35
1124.0,54782.0,19268.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,42
1125.0,1847.0,3608.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,49
1126.0,90636.0,76352.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,56
1127.0,42345.0,56282.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,63
1128.0,62854.0,23418.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,70
1129.0,73654.0,63397.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,77
1130.0,847.0,22663.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,84
1131.0,4755.0,28551.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,91
1132.0,50989.0,9766.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,98
1133.0,44240.0,43528.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,105
1134.0,53388.0,48866.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.25,112
1135.0,88416.0,90845.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,7
1136.0,45259.0,73003.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,14
1137.0,79449.0,28095.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,21
1138.0,44354.0,16569.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,28
1139.0,85917.0,90161.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,35
1140.0,26231.0,28226.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,42
1141.0,75726.0,35644.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,49
1142.0,91397.0,52505.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,56
1143.0,50548.0,4127.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,63
1144.0,66328.0,5316.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,70
1145.0,70478.0,15364.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,77
1146.0,67597.0,13498.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,84
1147.0,86659.0,28891.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,91
1148.0,15133.0,48794.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,98
1149.0,61695.0,7388.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,105
1150.0,70990.0,45688.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,112
1151.0,9804.0,88190.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.5,119
1152.0,44103.0,76414.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,7
1153.0,67054.0,25035.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,14
1154.0,99060.0,92725.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,21
1155.0,24823.0,88327.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,28
1156.0,44612.0,14618.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,35
1157.0,5309.0,95367.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,42
1158.0,64579.0,18260.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,49
1159.0,93057.0,13254.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,56
1160.0,60186.0,74683.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,63
1161.0,36698.0,1705.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,70
1162.0,93529.0,59908.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,77
1163.0,67306.0,15414.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,84
1164.0,26674.0,66198.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,91
1165.0,98389.0,27292.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,98
1166.0,21346.0,38505.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,105
1167.0,59497.0,93471.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,112
1168.0,47904.0,46988.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,119
1169.0,23146.0,25190.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,4.75,126
1170.0,20976.0,70203.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,7
1171.0,30725.0,21713.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,14
1172.0,57756.0,5694.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,21
1173.0,36090.0,50290.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,28
1174.0,10496.0,23045.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,35
1175.0,70524.0,93398.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,42
1176.0,51432.0,71096.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,49
1177.0,56378.0,29490.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,56
1178.0,12084.0,80621.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,63
1179.0,97682.0,98148.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,70
1180.0,59151.0,32319.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,77
1181.0,91202.0,25287.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,84
1182.0,42423.0,80046.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,91
1183.0,75771.0,93878.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,98
1184.0,53729.0,1338.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,105
1185.0,9072.0,75562.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,112
1186.0,9118.0,68568.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,119
1187.0,12971.0,26308.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,126
1188.0,85342.0,10555.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.0,133
1189.0,45413.0,84571.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,7
1190.0,96280.0,70135.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,14
1191.0,307.0,90879.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,21
1192.0,58632.0,47411.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,28
1193.0,79729.0,72921.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,35
1194.0,7726.0,18548.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,42
1195.0,49750.0,41434.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,49
1196.0,18355.0,80442.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,56
1197.0,10628.0,10213.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,63
1198.0,57788.0,83150.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,70
1199.0,940.0,87373.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,77
1200.0,66142.0,45462.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,84
1201.0,11770.0,43375.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,91
1202.0,7202.0,25429.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,98
1203.0,72276.0,46391.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,105
1204.0,51640.0,32838.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,112
1205.0,54656.0,53827.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,119
1206.0,46474.0,22309.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,126
1207.0,40453.0,50142.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,133
1208.0,31555.0,5058.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.25,140
1209.0,80230.0,53989.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,7
1210.0,78652.0,60104.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,14
1211.0,46597.0,28736.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,21
1212.0,77298.0,17185.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,28
1213.0,47420.0,1061.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,35
1214.0,38274.0,43324.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,42
1215.0,50042.0,67886.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,49
1216.0,37621.0,95393.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,56
1217.0,39374.0,6972.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,63
1218.0,81898.0,11041.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,5.5,70
